Krabi,0,0,0,0,0,0,0,0,0,0
Bangkok,218,139,85,78,20,4,6,3,5,340
Kanchanaburi,7,7,1,4,2,2,0,0,0,16
Kalasin,0,0,0,0,0,0,0,0,0,0
Kamphaeng Phet,1,1,0,0,1,0,0,0,0,2
Khon Kaen,5,4,1,3,2,1,0,0,0,11
Chanthaburi,0,0,0,0,0,0,0,0,0,0
Chachoengsao,8,5,3,2,1,0,0,0,1,12
Chon Buri,8,5,4,3,1,0,0,0,0,13
Chai Nat,2,1,0,1,0,0,0,0,0,2
Chaiyaphum,2,1,0,1,1,1,0,0,0,4
Chumphon,1,1,0,0,0,0,0,0,0,1
Chiang Rai,3,3,0,0,1,0,0,0,0,4
Chiang Mai,5,2,3,3,0,0,0,0,0,8
Trang,2,1,2,2,1,0,0,0,0,6
Trat,0,0,0,0,0,0,0,0,0,0
Tak,0,0,0,0,0,0,0,0,0,0
Nakhon Nayok,0,0,0,0,0,0,0,0,0,0
Nakhon Pathom,26,23,0,16,9,0,0,0,0,48
Nakhon Phanom,0,0,0,0,0,0,0,0,0,0
Nakhon Ratchasima,7,5,1,5,2,0,0,0,0,13
Nakhon Si Thammarat,8,7,1,4,3,0,1,0,0,16
Nakhon Sawan,9,3,6,7,3,0,0,0,0,19
Nonthaburi,18,13,11,12,1,0,0,2,1,40
Narathiwat,0,0,0,0,0,0,0,0,0,0
Nan,1,1,0,1,0,0,0,0,0,2
Bueng Kan,0,0,0,0,0,0,0,0,0,0
Buri Ram,3,2,1,1,1,0,0,0,0,5
Pathum Thani,8,6,4,2,3,0,0,0,1,16
Prachuap Khiri Khan,3,3,0,0,1,0,1,0,0,5
Prachin Buri,2,2,0,0,1,1,0,0,0,4
Pattani,0,0,0,0,0,0,0,0,0,0
Phra Nakhon Si Ayutthaya,9,5,1,6,0,1,0,0,0,13
Phayao,1,0,1,0,0,0,0,0,0,1
Phangnga,1,0,0,1,0,0,0,0,0,1
Phatthalung,1,1,0,1,0,0,0,0,0,2
Phichit,2,1,0,1,0,0,0,0,0,2
Phitsanulok,3,2,1,2,1,0,0,0,0,6
Phetchaburi,0,0,0,0,0,0,0,0,0,0
Phetchabun,1,1,0,0,1,0,0,0,0,2
Phrae,0,0,0,0,0,0,0,0,0,0
Phuket,0,0,0,0,0,0,0,0,0,0
Maha Sarakham,0,0,0,0,0,0,0,0,0,0
Mukdahan,0,0,0,0,0,0,0,0,0,0
Mae Hong Son,0,0,0,0,0,0,0,0,0,0
Yasothon,1,0,0,1,0,0,0,0,0,1
Yala,0,0,0,0,0,0,0,0,0,0
Roi Et,2,1,0,1,0,0,0,0,0,2
Ranong,2,0,2,0,0,0,0,0,0,2
Rayong,8,8,1,3,3,0,0,0,0,15
Ratchaburi,3,2,1,2,2,0,0,0,0,7
Lop Buri,3,2,1,0,0,0,0,0,0,3
Lampang,1,1,0,0,0,0,0,0,0,1
Lamphun,0,0,0,0,0,0,0,0,0,0
Loei,3,1,2,2,1,0,0,0,0,6
Si Sa Ket,3,3,0,1,0,0,0,0,0,4
Sakon Nakhon,0,0,0,0,0,0,0,0,0,0
Songkhla,1,1,0,0,0,0,0,0,0,1
Satun,0,0,0,0,0,0,0,0,0,0
Samut Prakan,22,20,8,9,10,0,0,0,0,47
Samut Songkhram,1,0,1,0,0,0,0,0,0,1
Samut Sakhon,21,20,2,13,2,0,0,0,0,37
Sa Kaeo,1,1,0,0,0,0,0,0,0,1
Saraburi,7,5,2,5,2,0,0,2,1,17
Sing Buri,0,0,0,0,0,0,0,0,0,0
Sukhothai,0,0,0,0,0,0,0,0,0,0
Suphan Buri,1,2,0,2,0,0,0,0,0,4
Surat Thani,4,2,2,1,1,0,1,0,1,8
Surin,0,0,0,0,0,0,0,0,0,0
Nong Khai,1,0,0,1,0,0,0,0,0,1
Nong Bua Lam Phu,2,2,0,1,1,0,0,0,0,4
Ang Thong,3,4,0,1,0,0,0,0,0,5
Amnat Charoen,0,0,0,0,0,0,0,0,0,0
Udon Thani,0,0,0,0,0,0,0,0,0,0
Uttaradit,0,0,0,0,0,0,0,0,0,0
Uthai Thani,0,0,0,0,0,0,0,0,0,0
Ubon Ratchathani,3,3,1,3,0,0,0,0,0,7
รวม,458,323,149,202,78,10,9,7,10,788
